powers old;powers name
adaptation;adaptation powers
amphibious;amphibious powers
amphibious physiological adaptation;amphibious powers
atlantean abilities;DELETE
atlantian abilities;DELETE
banishment;banishment
claws and fangs;fangs
claws and fangs;claws
concussive force blasts;blasts powers
concussive force blasts;concussive powers
cryokinesis;cryokinesis
cybernetic eye;cybernetic enhacements
dilate power;DELETE
durability;enhanced durability
electrical discharge;eletric powers
electrical discharge;discharge powers
electromagnetic sight;electromagnetic powers
electromagnetic sight;senses powers
elemental control;elemental powers
elemental manipulation;manipulation powers
elemental manipulation;elemental powers
energy constructs;construct powers
energy constructs;energy powers
energy vision;enhanced/specific vision
energy vision;energy powers
enhanced intelligence;enhaced/superhuman intelligence or genius
esp (spider sense);spider sense
fangs and claws;fangs
fangs and claws;claws
flight speed;enhanced speed
flight speed;flight
force field generation;generation powers
force field generation;force field powers
gamma radiation emission;emission powers
gamma radiation emission;gamma powers
gamma radiation emission;radiation powers
heightened senses;senses powers
hypnotism and mind control;hypnosis
hypnotism and mind control;mind powers
hypnotism and mind control;mind control
inter dimensional teleportation/transportation;teleportation
life force energy absorption;life force powers
life force energy absorption;absorption powers
lights bonding;DELETE
magic immunity;immunity to different things
magnetic flight;magnetic powers
magnetic flight;flight
matter alteration;matter powers
memory manipulation;manipulation powers
memory manipulation;memory powers
offspring detection;perception/detection powers
optic blasts;blasts powers
optic blasts;optic powers
organic iron manipulation;manipulation powers
peak human longevity;slowed/suspended/suppresed aging
pheromone secretion;pheromone powers
plasticity;plasticity
possession;possession powers
power absorption;absorption powers
prehensile tongue;prehensile tongue
psionic resistance;resistance powers
psychokinesis;psychokinetics powers
psychometry;psychometry
radio frequency detection;perception/detection powers
remote possession;possession powers
retractable bone claws;claws
self resurrection;resurrection
sensation feeling;DELETE
sensors;sensors
sensory adaptation;adaptation powers
size shifting;size alteration
spider camouflage;camouflage
stretching and deforming;stretching and deforming
summoning;summoning powers
super breath;breath powers
superhuman striking force;DELETE
superhuman taste;senses powers
technoforming;techno powers
telepathic defense;telephatic powers
telescoping;DELETE
tentacles;tentacles
transformations;transformation powers
true immortality;immortality
wall climbing and traveling;travel powers
wing blades;blades
wing shielding;shields powers
wing shielding;wing powers
above normal intelligence;enhaced/superhuman intelligence or genius
absorb information;DELETE
accelerated vision;enhanced/specific vision
acceleration recuperation;healing powers
acidic saliva;acid powers
amphibious adaptation;amphibious powers
animal empathy;empathy/emphatical powers
antennae;DELETE
aquatic telepathy;telephatic powers
aquatic telepathy;telepathy
artificially enhanced physiology;DELETE
astral form;form powers
bio electrokinesis;electrokinesis
biokinesis;biokinesis
biological/organic webbing generation;generation powers
bolts (of eldritch?);bolt powers
bulletproof durability;enhanced durability
celestial energy manipulation;manipulation powers
celestial energy manipulation;celestial energy powers
charisma;DELETE
chlorokinesis;chlorokinesis
chronokinesis;chrono powers
claws & fangs;fangs
claws & fangs;claws
communication with animals;DELETE
computer interaction;DELETE
concussion blasters;blasters powers
concussion blasters;concussive powers
concussive force bolts;bolt powers
concussive force bolts;concussive powers
control over life and death;DELETE
cosmic awareness & mystic senses;mystic powers
cosmic awareness & mystic senses;senses powers
cosmic awareness & mystic senses;cosmic awareness
cosmic knowledge;knowledge powers
cosmic knowledge;cosmic powers
cosmic senses;cosmic powers
cosmic senses;senses powers
cosmic teleportation;cosmic powers
cosmic teleportation;teleportation
cybernetic arm;cybernetic enhancements
danger sense;senses powers
death inducement;DELETE
demonic transformation;transformation powers
demonic transformation;demon powers
dimensional entrapment;dimensional powers
dimensional sense;senses powers
dragon form;form powers
duplication;duplication
earth link;earth/geo powers
eidetic memory;memory powers
elasticity;DELETE
electrical fields detection;perception/detection powers
electrical fields detection;eletric powers
electromagnetic pulses;electromagnetic powers
electromagnetic spectrum manipulation;manipulation powers
electromagnetic spectrum manipulation;electromagnetic powers
elongation;DELETE
encephalo beam;beams powers
energy absorption and manipulation;manipulation powers
energy absorption and manipulation;absorption powers
energy absorption and manipulation;energy powers
energy beams;energy powers
energy beams;beams powers
energy construct creation;energy powers
energy construct creation;construct powers
energy discharge;energy powers
energy discharge;discharge powers
energy emanation;energy powers
energy generation;generation powers
energy generation;energy powers
energy manipulation (latent);manipulation powers
energy manipulation (latent);energy powers
energy pulse;energy powers
enhanced hearing;senses powers
enhanced immune system;immunity to different things
enhanced longevity;slowed/suspended/suppresed aging
enhanced metabolism;enhanced metabolism
enhanced mobility;enhanced mobility
enhanced reflexes and agility;enhanced agility
enhanced reflexes and agility;enhanced reflexes
enhanced regeneration;regeneration
enhanced sight;senses powers
enhanced superhuman durability, speed, agility, and reflexes;superhuman agility
enhanced superhuman durability, speed, agility, and reflexes;superhuman speed
enhanced superhuman durability, speed, agility, and reflexes;superhuman durability
enhanced superhuman durability, speed, agility, and reflexes;superhuman reflexes
environmental adaptation;adaptation powers
existence mastery;DELETE
exothermic reaction;DELETE
external symbiote rejection;resistance powers
fatigue resistance;resistance powers
fire breath;fire powers
fire immunity;immunity to different things
fire manipulation;manipulation powers
fire manipulation;fire powers
flexible bone structure;flexibility
foreign chemical resistance;resistance powers
fox transformation;transformation powers
gamma radiation/energy manipulation and emission;emission powers
gamma radiation/energy manipulation and emission;manipulation powers
gamma radiation/energy manipulation and emission;energy powers
gamma radiation/energy manipulation and emission;gamma powers
gamma radiation/energy manipulation and emission;radiation powers
geomagnetic link;earth/geo powers
gravity manipulation;manipulation powers
gravity manipulation;gravitational/graviton powers
gravity reduction;gravitational/graviton powers
growth;growth
healing power;healing powers
heightened animal like senses;senses powers
hellfire infusion;hellfire powers
high wind generation;generation powers
hyde formula;DELETE
hyper cosmic awareness;cosmic powers
hyper cosmic awareness;cosmic awareness
hyper speed;enhanced speed
immunity to fire & heat;immunity to different things
inanimate disintegration;disintegration
insensitivity to pain;immunity to different things
interdimensional teleportation;teleportation
intuitive aptitude;intuitive powers
intuitive genius;intuitive powers
ionic energy form;ionic powers
ionic regenerative healing;regenerative healing factor
kinetic duplication;kinetic powers
kinetic duplication;duplication
life force control;life force powers
lifeforce absorption;life force powers
lifeforce absorption;absorption powers
limitless stamina;enhanced stamina
linguistics;linguistics
magic detection;perception/detection powers
magic detection;magic powers
magical blasts;blasts powers
magical blasts;magic powers
magical potential;magic powers
magnetic force field;magnetic powers
magnetic force field;force field powers
magnetic rays;magnetic powers
malicious telepathy;telephatic powers
malicious telepathy;telepathy
mark of kaine;kaine
material astral projection;astral projection
materialization;DELETE
matter & energy manipulation;manipulation powers
matter & energy manipulation;matter powers
matter & energy manipulation;energy powers
memory alteration;memory powers
mental invisibility;mental powers
metal morphing;metal powers
metal/matter manipulation;manipulation powers
metal/matter manipulation;matter powers
metal/matter manipulation;metal powers
microscopic vision;enhanced/specific vision
mind blast;blasts powers
mind blast;mind powers
mind trap;mind powers
molecular change;molecular powers
mystical blasts;blasts powers
mystical blasts;mystic powers
near immortality;immortality
near invulnerability;invulnerability
neural jumpstart;DELETE
neural resistance;resistance powers
nigh omnipotence;DELETE
no sleep;DELETE
nova flame;DELETE
odinforce;DELETE
omnilingual;linguistics
peak human condition;enhanced condition
peak human mental process;mental powers
penance stare immunity;immunity to different things
personality alteration;DELETE
photographic memory;memory powers
physical enhancement;enhacements
physical possession;possession powers
physical transformation;transformation powers
plasma form;plasma powers
plasma form;form powers
poisonous fangs;fangs
power bestowal;power bestowal
power manipulation;manipulation powers
power negation;DELETE
power sharing;DELETE
power stomp;DELETE
power supply;DELETE
power transfer;DELETE
psionic blast;blasts powers
psionic blast;psionic powers
psionic immunity;immunity to different things
psychic alignment with arthropods;psychic powers
psychic bond;psychic powers
psychic firebird;psychic powers
psychic resistance;resistance powers
psychic shield;shields powers
psychic shield;psychic powers
pym particles;DELETE
quantum magic;quantum powers
quasi sonic scream;sonic powers
radar sense;senses powers
radiation absorption;absorption powers
radiation absorption;radiation powers
reactive adaptation;adaptation powers
reality warp resistance;resistance powers
reality warping;reality powers
remote teleportation;teleportation
resurrection force;resurrection
retarded aging;slowed/suspended/suppresed aging
retrocognition;retrocognition
robotic body;DELETE
rock troll physiology;DELETE
seduction;DELETE
self power bestowal;power bestowal
sensory systems;DELETE
skrull vision;enhanced/specific vision
sonar;senses powers
sonic immunity;immunity to different things
sonic scream;sonic powers
sonic shield;shields powers
sonic shield;sonic powers
sorcery over the flames of the faltine;sorcery
soul manipulation;manipulation powers
soul manipulation;soul powers
soul manipulation;energy powers
spider senses;senses powers
spinnerets;DELETE
spirit possession;spirit powers
spirit possession;possession powers
stealth;cloak/stealth powers
stingers;stings
stone form;form powers
super humanoid agility;enhanced agility
super humanoid durability;superhuman durability
super humanoid reflexes;enhanced reflexes
super humanoid speed;enhanced speed
super humanoid strength;superhuman strength
superhuman acute senses;senses powers
superhuman dense tissue;superhuman dense tissue
superhuman growth;growth
superhuman healing;healing powers
superhuman intellect;enhaced/superhuman intelligence or genius
superhuman smell;senses powers
superhuman touch;senses powers
suppressed aging;slowed/suspended/suppresed aging
techno organic physiology;techno powers
techno organic wings;techno powers
technokinesis;techno powers
technological manipulation;manipulation powers
technological manipulation;techno powers
technopathic tentacle manipulation;manipulation powers
technopathic tentacle manipulation;techno powers
telekinetic flight;flight
telekinetically enhanced condition;telekinetic powers
telepathic defenses;telephatic powers
telescopic vision;enhanced/specific vision
temperature resistance;resistance powers
temperature tolerance;resistance powers
tissue regeneration;regeneration
toxin resistance;resistance powers
umbrakinesis;umbrakinesis
underwater breathing;DELETE
undetectability;undetectability
various other spells;spell casting
vast energy manipulation;manipulation powers
vast energy manipulation;energy powers
venom blasts;blasts powers
venom blasts;venom powers
wallcrawling;wall crawling
weather control;weather powers
weird brain;DELETE
will domination;DELETE
wings;wings
interdimensional teleportation;interdimensional powers
astral form;astral powers
material astral projection;astral powers
earth link;link powers
geomagnetic link;link powers
biological/organic webbing generation;webbing powers
ionic energy form;form powers
ionic regenerative healing;ionic powers
"""dragon claw""";claws
"""zombie senses""";senses powers
360 degree senses;senses powers
abominable physiology;DELETE
absolute immortality;immortality
absolute speed;enhanced speed
absolute stamina;enhanced stamina
absorbing weaponry;DELETE
absorption and transformation;absorption powers
absorption and transformation;transformation powers
accelerated brain activity;DELETE
accelerated cosmic regenerative factor;cosmic powers
accelerated cosmic regenerative factor;regenerative healing factor
accelerated decoy;DELETE
accelerated metabolism;enhanced metabolism
accelerated probability generator;probability powers
accelerating regeneration;regeneration
acid generation;generation powers
acid mist;acid powers
acid spit;acid powers
acidic poison generation;generation powers
acoustikinesis;acoustikinesis
adamantium claws;claws
adamantium claws and skeleton;claws
adaptability;adaptation powers
adapted appearance;DELETE
adapted physiology;DELETE
adaptive appearance;DELETE
adaptive physiology;DELETE
adaptive possession;possession powers
adaptive possession (latent);possession powers
advanced constituent matter generation;matter powers
advanced constituent matter generation;generation powers
advanced constituent matter manipulation;manipulation powers
advanced constituent matter manipulation;matter powers
advanced intelligence;enhaced/superhuman intelligence or genius
advanced superhuman speed;superhuman speed
advanced telekinesis;telekinesis
aerial adaption;adaptation powers
aerokinesis;aerokinesis
age acceleration;DELETE
age reversal;DELETE
agility;enhanced agility
air jet implants;DELETE
aladdin enhancements;enhacements
alchemy;DELETE
alien physiology;DELETE
altered physiology;DELETE
ambient energy conversion;energy powers
ammunition;DELETE
amphibian control;amphibious powers
amphibious adaption;amphibious powers
ancient one invokation;DELETE
angelic fire manipulation;manipulation powers
angelic fire manipulation;angelic fire powers
animal control;DELETE
animal mimicry (aquatic life);DELETE
animal shapeshifting;shapeshifting
animal telepathy;telephatic powers
animal telepathy;telepathy
animorphism;DELETE
anti gravitational flight;flight
anti gravitational flight;gravitational/graviton powers
anti healing factor;DELETE
anti matter resistance;resistance powers
antidote production;DELETE
apparent immortality;immortality
appearance alteration;shapeshifting
aquatic life mimicry;DELETE
aquatic physiology;DELETE
aquatic zoopathy;DELETE
arithmetic telepathy;telephatic powers
arithmetic telepathy;telepathy
arm mode;DELETE
armored skin;DELETE
arms shape shifting;shapeshifting
army creation;DELETE
artificial body;DELETE
artificial evolution;DELETE
artificial eyes and ears;DELETE
artificial limb transformation;transformation powers
artificial second heart;senses powers
assassins instinct;DELETE
astral body;astral powers
astral plane tap;astral powers
astral projection materialization;astral projection
astral travel;travel powers
astral vision;enhanced/specific vision
athletic reflexes;enhanced reflexes
athletic speed;enhanced speed
athletic stamina;enhanced stamina
atlantean/human/tiger shark hybrid physiology;DELETE
atmospheric adaption;adaptation powers
atomic vision;enhanced/specific vision
attraction field;DELETE
attribute absorption;absorption powers
augmented botanic mass;mass powers
augmented cellular regeneration;regeneration
augmented regenerative healing factor;regenerative healing factor
augmented vision;enhanced/specific vision
augmented vocal cords;DELETE
augmented weaponry;DELETE
aura;DELETE
aura viewing/tracking;DELETE
aurora manipulation;manipulation powers
aurora manipulation;aurora powers
automated self repairing;self/quick repair
automatic psionic defense;psionic powers
avatar/golem;DELETE
avian mutation;DELETE
'avx' patch;DELETE
battle frenzy;DELETE
battleform;DELETE
beard;DELETE
beta particle blasts;blasts powers
beta particle reactor;DELETE
binding enchantments;DELETE
bio augmentation;DELETE
bio electrical blasts;blasts powers
bio electrical blasts;eletric powers
bio organic thermokinetic furnace;DELETE
bio synthetic wings;wings
bio vampire;vampirism
bioelectric blasts;blasts powers
bioelectric blasts;eletric powers
bioelectricity;eletric powers
biological webbing generation;generation powers
biological\organic webbing generation;generation powers
biomass alteration;mass powers
biomorphing;DELETE
bionic arm;DELETE
biophysical control;DELETE
biosphere recreation;DELETE
black panther knowledge;knowledge powers
black september jumpstart;DELETE
black vortex empowerment;empowerment powers
blade;blades
blasts;blasts powers
blight blade projection;projection powers
blindsight;senses powers
bloodline heritage;DELETE
bodily augmentation;DELETE
bodily reconstruction;construct powers
body control;DELETE
body possession;possession powers
body storage;DELETE
body temperature manipulation;manipulation powers
body transformation;transformation powers
bolstered durability;enhanced durability
bolstered strength;enhanced strength
bolts of lactal energy;bolt powers
bone claws;claws
bone protrusion generation;generation powers
bouncing ball;DELETE
brainwave manipulation;manipulation powers
breach creation (latent);DELETE
brood eggs;DELETE
burning touch;DELETE
burnstein process;DELETE
burstein process;DELETE
canine control;DELETE
canopy, parachute or sheath;DELETE
celestial tech like armor;DELETE
cellular regeneration;regeneration
cellular shape shifting;shapeshifting
celtic magick;magic powers
chain manifestation;manifestation powers
change channel;DELETE
cheek storage;DELETE
chemically induced webbing generation;generation powers
chi enhanced durability;chi powers
chi enhanced durability;enhanced durability
chi enhanced fist;chi powers
chi enhanced reflexes;chi powers
chi enhanced reflexes;enhanced reflexes
chi enhanced senses;chi powers
chi enhanced senses;senses powers
chi enhanced speed;chi powers
chi enhanced speed;enhanced speed
chi healing;chi powers
chi healing;healing powers
chi sense;senses powers
chi sense;chi powers
chrono shield;shields powers
chrono shield;chrono powers
chronokinetic augmentation;chrono powers
claw like pincers;claws
claws and blades;claws
claws and blades;blades
claws and talons;claws
claws and talons;talons
claws and teeth;enhaced teeth
claws and teeth;claws
climbing;wall crawling
cloak mind;cloak/stealth powers
cloaking;cloak/stealth powers
clothes changing;DELETE
cohesion;DELETE
cold spell;spell casting
color manipulation;manipulation powers
color manipulation;color powers
combat adaption;adaptation powers
combat hypnosis;hypnosis
communication;DELETE
composite symbiotic costume;symbiotic powers
computer brain;DELETE
computer interface;DELETE
computer interfacing;DELETE
concussive energy blasts;blasts powers
concussive energy blasts;concussive powers
concussive energy projection;projection powers
concussive energy projection;concussive powers
condemnation;DELETE
conjuring;conjuring powers
connection to asgard;DELETE
consciousness transfer;DELETE
constituent matter manipulation (hair);manipulation powers
constituent matter manipulation (hair);matter powers
construct;construct powers
contain explosions;DELETE
contaminant resistance;resistance powers
contracting;DELETE
control of gravitons;gravitational/graviton powers
controlled optic blasts;blasts powers
controlled optic blasts;optic powers
corruption;DELETE
cosmic air;cosmic powers
cosmic armaments;cosmic powers
cosmic earth;cosmic powers
cosmic energy absorption;absorption powers
cosmic energy absorption;cosmic energy powers
cosmic energy absorption;cosmic powers
cosmic energy projection;projection powers
cosmic energy projection;cosmic energy powers
cosmic energy projection;cosmic powers
cosmic flame;cosmic powers
cosmic form;cosmic powers
cosmic form;form powers
cosmic hearing;cosmic powers
cosmic hearing;senses powers
cosmic level awareness;cosmic awareness
cosmic level telekinetic blast;cosmic powers
cosmic level telekinetic blast;blasts powers
cosmic level telekinetic blast;telekinetic powers
cosmic penance stare;cosmic powers
cosmic power;cosmic powers
cosmic powers;cosmic powers
cosmic pyrokinetics;pyrokinesis/pyrokinetics
cosmic ray transformation;transformation powers
cosmic self sustenance;cosmic powers
cosmic vision;cosmic powers
cosmic water;cosmic powers
cosmic wings;cosmic powers
costume summoning;summoning powers
creation;DELETE
creature summoning;summoning powers
crimson band of cincinnati;DELETE
crow familiars;DELETE
cryokinetic perception;perception/detection powers
cushion;DELETE
cyber mind;DELETE
cybernetic appendages;cybernetic enhancements
cybernetic arms;cybernetic enhancements
cybernetic brain;cybernetic enhancements
cybernetic defense;cybernetic enhancements
cybernetic enhancements;enhacements
cybernetic healing factor;regenerative healing factor
cybernetic interface;cybernetic enhancements
cybernetic restoration;cybernetic enhancements
cybernetic tentacles;cybernetic enhancements
cybernetically enhanced body;cybernetic enhancements
danger sense broadcasting;senses powers
dark magic;magic powers
dark solar plasma blasts;blasts powers
dark solar plasma blasts;plasma powers
darkforce dimension;darkforce powers
darkforce projection;darkforce powers
darkforce projection;projection powers
darkforce teleportation;darkforce powers
darkforce teleportation;teleportation
darkhold augmentation;DELETE
darkness creation;DELETE
darkness manipulation;manipulation powers
darkness manipulation;darkness powers
darkness of the divine conduit;DELETE
darkshade view;DELETE
darts;DELETE
death factor;DELETE
death god;DELETE
death perception;perception/detection powers
death sense;senses powers
death spore release;DELETE
death touch;DELETE
decelerated aging/conventional immortality;immortality
decelerated aging/conventional immortality;slowed/suspended/suppresed aging
demon form;demon powers
demon form;form powers
demon magic manipulation;manipulation powers
demon magic manipulation;demon powers
demon summoning;demon powers
demon summoning;summoning powers
demonic energy projection;projection powers
demonic energy projection;demon powers
dense flesh;DELETE
dense tissue;superhuman dense tissue
density control;DELETE
density manipulation;manipulation powers
density manipulation;density powers
despair inducement;DELETE
destruction;DELETE
detection;perception/detection powers
dhampir physiology;DELETE
diamond form;form powers
dichromatimorphic skin;DELETE
digital immersion;DELETE
dimension gate;dimensional powers
dimension travel;travel powers
dimension traveling;travel powers
dimensional aperture;dimensional powers
dimensional body positioning;dimensional powers
dimensional distortion;dimensional powers
dimensional manipulation;manipulation powers
dimensional manipulation;dimensional powers
dimensional splicing;dimensional powers
disease resistance;resistance powers
disease resistances;resistance powers
disguise/illusions;illusions
disintegration;disintegration
disintegration waves;disintegration
displacement field gars;DELETE
divine empowerment;empowerment powers
divine sources;DELETE
djalia transport;DELETE
doctor doom's brain patterns;DELETE
doom's armor;DELETE
doopish magic;magic powers
dream manipulation;manipulation powers
dream manipulation;dream powers
dreamspace manipulation;manipulation powers
dreamspace manipulation;dream powers
druidic magic;magic powers
duplication absorption;absorption powers
duplication experience transference;duplication
duplication healing;healing powers
dynamic durability;DELETE
dynamokinesis;dynamokinesis
e.v.a.;DELETE
earth manipulation;manipulation powers
earth manipulation;earth/geo powers
eldritch magic;magic powers
electric blasts;blasts powers
electric blasts;eletric powers
electric isolation;eletric powers
electric wave perception;eletric powers
electrical blast;blasts powers
electrical blast;eletric powers
electro search;DELETE
electrokinetic haemopyrokinesis / sanguine combustion;pyrokinesis/pyrokinetics
electrolocation;DELETE
