powers old;powers name
enhanced eyesight;senses powers
enhanced healing factor;regenerative healing factor
enhanced intelligence & memory;enhaced/superhuman intelligence or genius
enhanced learning capabilities;DELETE
enhanced lungs;DELETE
enhanced mental capability;mental powers
enhanced musculature;DELETE
enhanced peripheral vision;enhanced/specific vision
enhanced physical attributes;DELETE
enhanced powers;DELETE
enhanced reaction time;DELETE
enhanced reflexes and senses;senses powers
enhanced resilience;DELETE
enhanced sense of smell;senses powers
enhanced spider sense;spider sense
enhanced strength & durability;enhanced durability
enhanced strength & durability;enhanced strength
enhanced superhuman agility;superhuman agility
enhanced superhuman durability;superhuman durability
enhanced superhuman reflexes;superhuman reflexes
enhanced superhuman speed;superhuman speed
enhanced thought process;DELETE
enhanced tracking;DELETE
enhanced vampirism;vampirism
enhanced visual abilities;enhanced/specific vision
enhanced wall crawling;wall crawling
ensnare astral bodies;astral powers
entering other planes of existence;DELETE
equilibrium earrings;DELETE
esp;DELETE
esp immunity;immunity to different things
essential vampirism;vampirism
evil eye;DELETE
expanding;DELETE
explosion generation;generation powers
extended lifespan;DELETE
extended reach;DELETE
external force immunity;immunity to different things
externalized nervous system;DELETE
extrasensory perception;perception/detection powers
extreme temperature resistance;resistance powers
extremis 16.5;DELETE
extremis virus;DELETE
extremis virus infusion;DELETE
eye beam;beams powers
familial power bestowal;power bestowal
feral lupine form;form powers
fire and heat immunity;immunity to different things
fire generation;generation powers
fire invulnerability;invulnerability
fire solidification;fire powers
fist weapons;DELETE
flame sheath;DELETE
flash light;DELETE
flat body;DELETE
flight (latent);flight
follower augmentation;DELETE
force fields removal;DELETE
force wave conjuration;conjuring powers
former powers;DELETE
four extra arms;DELETE
fourth wall;DELETE
frost immunity;immunity to different things
full body perception;perception/detection powers
future life force tap;life force powers
g force compensation;DELETE
gamma power mimicry;gamma powers
gamma radiation enhancements;enhacements
gamma radiation enhancements;radiation powers
gaseous form;gas powers
gaseous form;form powers
gaseous form manipulation;manipulation powers
gaseous form manipulation;gas powers
genetic atavism;DELETE
genetic detection;perception/detection powers
genetic enhancements using mutant dna;enhacements
genetic sight;senses powers
genius level intellect;enhaced/superhuman intelligence or genius
geo connectivity;earth/geo powers
geokinetic psychic entity;earth/geo powers
geometric shapes;earth/geo powers
gestalt illusion casting;illusions
gestalt merge;DELETE
gestalt personality;DELETE
gestalt photokinesis;self sustenance
ghost hacking;intangibility
giant form;allspeak
giant size;DELETE
glass constructs;construct powers
glass generation;generation powers
gliding;DELETE
global locationing;DELETE
god level speed;enhanced speed
god level stamina;enhanced stamina
god level strength;above super (god, unlimited) strength
godlike speed;enhanced speed
godlike strength;above super (god, unlimited) strength
godly decrees;DELETE
granite body;DELETE
grappling;DELETE
gravitational manipulation;manipulation powers
gravitational manipulation;gravitational/graviton powers
gravitational mass allocation;gravitational/graviton powers
graviton attraction;gravitational/graviton powers
graviton blast;blasts powers
graviton blast;gravitational/graviton powers
graviton manipulation;manipulation powers
graviton manipulation;gravitational/graviton powers
grotesque appearance;DELETE
gwendorian physiology;DELETE
hallucinogen/toxin secretion;DELETE
hammer of kuurth;DELETE
hard radiation;radiation powers
heal trauma;DELETE
healing factor (latent);regenerative healing factor
healing hibernation;healing powers
healing powers;healing powers
healing touch;healing powers
healing/restoration;regenerative healing factor
hearing;senses powers
heat generation;generation powers
heat resistance;resistance powers
heightened awareness;awareness
heightened reflexes;enhanced reflexes
hell charger linkage;DELETE
hell charger manifestation;manifestation powers
hell firestorm;hellfire powers
hellfire;hellfire powers
hellfire attacks;hellfire powers
hellfire forgery;hellfire powers
hellfire projection;projection powers
hellfire telekinesis;hellfire powers
hellfire telekinesis;telekinetic powers
hex bolts;bolt powers
hibernation;DELETE
hibernation healing;healing powers
high speed flight;enhanced speed
hive mind;DELETE
hive mind / telepathic web[92];DELETE
hive mind system;DELETE
hive senses;senses powers
hollow bones;DELETE
holographic projection;projection powers
holographic technology;techno powers
hot claws;claws
hot spell;spell casting
hovering hoops of hula;DELETE
hulk physiology;DELETE
human hive;DELETE
human/atlantean physiology;DELETE
hyperpulse mark ix;DELETE
hyperspace speed;enhanced speed
hyperspace teleportation;teleportation
hypnotic charm;hypnosis
hypnotic trance;hypnosis
ice clone generation;generation powers
idealized physique;DELETE
identity detection;perception/detection powers
illusion;illusions
illusion awareness;DELETE
illusion conjuring;illusions
illusion perception;perception/detection powers
illusionist;illusions
imitation;DELETE
immeasurable strength;above super (god, unlimited) strength
immense regenerative capabilities;regeneration
immense superhuman strength;superhuman strength
immense superhuman strength;above super (god, unlimited) strength
immortality (allegedly);immortality
immortality (formerly);immortality
immortality / physical reconstitution;regenerative healing factor
immortality / physical reconstitution;immortality
immortality and regeneration;immortality
immortality and regeneration;regeneration
immortality[7] and superhuman durability;superhuman durability
immortality[7] and superhuman durability;immortality
immune to spider man's spider sense;immunity to different things
immunity;immunity to different things
immunity of spider man spider sense;immunity to different things
immunity to diseases and viruses;immunity to different things
immunity to extremes in temperature;immunity to different things
immunity to most vampire vulnerabilities;immunity to different things
immunity to sunlight;immunity to different things
immunity to toxins, poisons, drugs, and radiation;immunity to different things
immunity to vampire vulnerabilities;immunity to different things
immunity to vampires;immunity to different things
impact resistant skin;resistance powers
impaired sense of touch/selective pain suppression;immunity to different things
impervious armor;DELETE
implanted blades;blades
impurity sense;senses powers
increase and decrease of mass;mass powers
increased biomass;mass powers
increased perceptions and reflexes;enhanced reflexes
increased psionic resistance;resistance powers
indestructible skeleton;DELETE
indomitable willpower;DELETE
infection;DELETE
infectious bite;DELETE
infernokinesis;infernokinesis
infiltration;DELETE
infini tendrils;DELETE
infinite control of oceans;DELETE
infinite longevity/fearlessness;slowed/suspended/suppresed aging
infinite mass punch;mass powers
infinity cloak;cloak/stealth powers
influence and bonding;DELETE
inhuman strength;enhanced strength
inkling;DELETE
inodorosity;DELETE
inorganic disintegration;disintegration
insectivorid physiology;DELETE
instant regeneration;regeneration
intelligence;enhaced/superhuman intelligence or genius
interdimensional & intradimensional portals;portal creation
interdimensional travel;interdimensional powers
interdimensional vision;enhanced/specific vision
internal bodily cleansing;DELETE
internal defenses;DELETE
internal limbo;DELETE
intuitive multilingual;intuitive powers
intuitive multilingual;linguistics
intuitive tactical ability;intuitive powers
invisibility/disappearance;invisibility
invisible barrier;invisibility
invunerability;DELETE
ionic conversion;ionic powers
ionic vampirism;ionic powers
iron wasp storage;DELETE
iron will;DELETE
irresistible force embodiment;DELETE
item conjuring;conjuring powers
japanese macaque;DELETE
jet propulsion;DELETE
kakarantharaian physiology;DELETE
karmic blast;blasts powers
karmic blast;karmic powers
kinetic blast;blasts powers
kinetic blast;kinetic powers
kinetic energy redirection;kinetic powers
kinetic memory;memory powers
kinetic shadow form;form powers
kinetic shadow form;shadow powers
klyntar assimilation;DELETE
knockout gas;gas powers
knowledge;knowledge powers
language learning;DELETE
laser implants;DELETE
laser mimicry & projection;projection powers
lateral lines;DELETE
lava form;form powers
leaping (latent);leaping powers
learning program;DELETE
levitation / flight;flight
levitation / flight;levitation
levitation and fly;flight
levitation and fly;levitation
lie detection;perception/detection powers
life energy absorption;absorption powers
life energy absorption;life force powers
life force detection;life force powers
life force manipulation;manipulation powers
life force manipulation;life force powers
life model decoy;DELETE
life support;DELETE
lifeform detection;perception/detection powers
light alteration;manipulation powers
light manipulation;manipulation powers
light manipulation;light powers
light of truth;DELETE
light projection;projection powers
lightning;DELETE
lightning conjuring;conjuring powers
lightning/electrokinesis;electrokinesis
lights;DELETE
limb extension;DELETE
limited immortality;immortality
limited magic ability;magic powers
limited sunlight exposure;DELETE
limited superhuman speed;superhuman speed
limited telepathic communication;telephatic powers
limited telepathy;telepathy
limited telepathy;telephatic powers
linked to theaxis mundi;DELETE
liquid metal appendages;metal powers
liquid metal metamorphosis;metal powers
living armor;DELETE
lizard form;form powers
long, elastic, sticky, prehensile, forked tongue;prehensile tongue
longevity/immortality;slowed/suspended/suppresed aging
longevity/immortality;immortality
love eyes;DELETE
lunakinesis;lunakinesis
lunatic laugh resistance;resistance powers
machine animation;DELETE
machine gun mode;DELETE
machine invisibility;invisibility
magic energy blasts;blasts powers
magic energy blasts;energy powers
magic knowledge;knowledge powers
magic knowledge;magic powers
magic manipulation;manipulation powers
magic manipulation;magic powers
magical ability;magic powers
magical affinity;magic powers
magical bolts;magic powers
magical bolts;magic powers
magical energy blasts;magic powers
magical energy blasts;blasts powers
magical healing;magic powers
magical healing;healing powers
magical wave perception;magic powers
magma form;form powers
magnetic armor;magnetic powers
magnetic pulse;magnetic powers
magnetokinesis;magnetokinesis
malleability;DELETE
malleable metal body;metal powers
man beast immunity;immunity to different things
man thing physiology;DELETE
manifestation of deity power;manifestation powers
mass manipulation;manipulation powers
mass manipulation;mass powers
mass particle transference (latent);mass powers
mass possession;possession powers
master of all souls;DELETE
master showmanship;DELETE
matter generation;generation powers
matter generation;matter powers
matter surfing;matter powers
matter transmutations;matter powers
matter transmutations;transmutation powers
matter/energy manipulation;manipulation powers
matter/energy manipulation;matter powers
matter/energy manipulation;energy powers
meca psychometry;psychometry
mechanical construct creation;construct powers
mechanical duplication;duplication
medium awareness;awareness
mega venom blast;blasts powers
mega venom blast;venom powers
memory absorption;absorption powers
memory capacity;memory powers
memory erasure;memory powers
memory exchange;memory powers
memory implantation;memory powers
memory overload;memory powers
memory projection / telemorphic manifestation[6];manifestation powers
memory projection / telemorphic manifestation[6];projection powers
memory reading;memory powers
memory recall;memory powers
memory restoration;memory powers
mental blasts;blasts powers
mental blasts;mental powers
mental blocks;mental powers
mental bolts;mental powers
mental bolts;mental powers
mental control over animals;mind control
mental energy absorption;absorption powers
mental energy absorption;mental powers
mental illusions;illusions
mental link;mental powers
mental manipulation;manipulation powers
mental manipulation;mental powers
mental power amplifier;mental powers
mental projection;projection powers
mental projection;mental powers
mental resistance;resistance powers
mental sedating;mental powers
mental shield;shields powers
mental shield;mental powers
mental shield removal;DELETE
mental shields;shields powers
mental shields;mental powers
mental static;mental powers
mesmerism/hypnotism;hypnosis
mesmerism/hypnotism;mesmerism
meta possession;possession powers
metahuman stamina;enhanced stamina
metal adaptation;adaptation powers
metal nail;metal powers
metal or matter manipulation;manipulation powers
metal or matter manipulation;mettal powers
metal or matter manipulation;matter powers
metallic body;metal powers
metamorphic adaptation;adaptation powers
metaphorm;DELETE
micro bombs;DELETE
micro cellular manipulation;manipulation powers
microwave perception;perception/detection powers
milk hair;DELETE
mind affecting features;mind powers
mind cloaking;mind powers
mind cloaking;cloak/stealth powers
mind meld;mind powers
mind reading;mind powers
mind shield;shields powers
mind shield;mind powers
mind stone;DELETE
mineral body;DELETE
minor molecular control;molecular powers
minor pheromone manipulation;manipulation powers
minor pheromone manipulation;pheromone powers
missiles;DELETE
mist effect;DELETE
mist form;form powers
mist mimicry;DELETE
modified physiology;DELETE
molecular atomic dissolution;molecular powers
molecular distortion;molecular powers
molecular filter;molecular powers
molecular moisture conversion;molecular powers
molecular moisture inversion;molecular powers
molecular psychic linking;psychic powers
molecular restructuring;molecular powers
molecule acceleration;DELETE
monster communication;DELETE
monster control;DELETE
monster creation;DELETE
monster fusion;DELETE
monstrous transformation;transformation powers
motility support;DELETE
movement;DELETE
movement impairment;DELETE
multi claw projection;projection powers
multi claw projection;claws
multiple eyes;DELETE
multitasking;DELETE
mummudrai manifestation;manifestation powers
muscle mass enhancement;enhacements
mutagenic enzyme;DELETE
mutant detection;perception/detection powers
mutant enhanced intelligence;enhaced/superhuman intelligence or genius
mutant/atlantean physiology;DELETE
mutated appearance;DELETE
mutated pheromone;pheromone powers
mystic energy bolts;bolt powers
mystic energy bolts;mystic powers
mystic portals;mystic powers
mystical conjuring;mystic powers
mystical empowerment;mystic powers
mystical energy blasts;blasts powers
mystical energy blasts;mystic powers
mystical force beams;beams powers
mystical force beams;mystic powers
mystical force fields;mystic powers
mystical force fields;force field powers
mystical knowledge;knowledge powers
mystical knowledge;mystic powers
mystical link;mystic powers
mystical potential;mystic powers
mystical senses;senses powers
mystical teleportation;teleportation
mystical teleportation;mystic powers
mysticism;mystic powers
nail manipulation;manipulation powers
nanite constructs;construct powers
nanite cybernetics;cybernetic enhancements
nanite manipulation;manipulation powers
nanite manipulation;nanite powers
nano technological self repair;self/quick repair
nanotech armor manipulation;manipulation powers
nanotech armor manipulation;nanotech powers
nanotech form;form powers
natural perception;perception/detection powers
natural weapons;DELETE
natural winged flight;flight
nature control;DELETE
near instant healing factor;regenerative healing factor
near omnipotence;DELETE
necessity;DELETE
nega band based energy absorption;absorption powers
negative emotional release;DELETE
negative zone augmentation;DELETE
negligible body functions;DELETE
nervous system control;DELETE
nether communication;DELETE
nether realm enhancement;enhacements
netherworld dimensional power tap;dimensional powers
network access;DELETE
neuro electric sensitivity;senses powers
nigh immortality;immortality
nigh limitless strength;above super (god, unlimited) strength
night augmentation;DELETE
no limitations;DELETE
nuclear vision;enhanced/specific vision
null force energy field;energy powers
offensive secretion;DELETE
offshoot generation;generation powers
omnipresence;DELETE
open locks;DELETE
optic beams;beams powers
optic beams;optic powers
organic ice form;form powers
organic steel form;form powers
organic webbing;webbing powers
osteokinesis;osteokinesis
other mystical abilities;mystic powers
other skills;DELETE
pain immunity;immunity to different things
palm sensors;sensors
pan dimensional phasing (latent);dimensional powers
parabolic hearing;senses powers
paralytic resin;DELETE
paralyzing waves;DELETE
parasitic inheritance;DELETE
partial omniscience;DELETE
particle & electron channeling;DELETE
particle & electron manipulation;DELETE
pathokinesis;pathokinesis
peak human aging;slowed/suspended/suppresed aging
peak human immune system;immunity to different things
peak human intelligence;enhaced/superhuman intelligence or genius
peak human physical ability;DELETE
peak human regeneration;regeneration
penance kiss;DELETE
penetrating vision;enhanced/specific vision
perfect equilibrium;superhuman/perfect equilibrium
permanent bond;DELETE
person identification;DELETE
pestilence enhancement;enhacements
phase jumping;DELETE
phase transformation;transformation powers
phased/intangible camouflage;camouflage
phased/intangible disruption;intangibility
phased/intangible extension;intangibility
phased/intangible travel;travel powers
phasing;DELETE
philosophical awareness;awareness
phoenix blow;DELETE
phoenix force avatar;DELETE
phoenix force manifestation;manifestation powers
phoenix powers;DELETE
photographic memorization;memory powers
photographic reflexes;enhanced reflexes
photon energy blasts;blasts powers
photon energy blasts;photon powers
photonic blasts;blasts powers
photonic blasts;photon powers
physical alteration;DELETE
physical augmentation;DELETE
physical immunity;immunity to different things
physical movement prediction;DELETE
pistol mode;DELETE
plant manipulation;manipulation powers
plant manipulation;plant powers
plasma blasts;blasts powers
plasma blasts;plasma powers
plasma emanation;DELETE
pleasure stimulation;DELETE
pluvian physiology;DELETE
pocket universe creation;DELETE
poison resistance;resistance powers
poisonous plumage;DELETE
polymorph;DELETE
porcupine like quills;DELETE
portals;portal creation
possession and resurrection;possession powers
possession and resurrection;resurrection
possession resistance;resistance powers
possession/people control;possession powers
possible immortality;immortality
possible teleportation;teleportation
possum physiology;DELETE
postcognition;DELETE
power amplification;DELETE
power and telepathic immunity (possibly formerly);immunity to different things
power augmentation manipulation;manipulation powers
power cosmic;cosmic powers
power detection;perception/detection powers
power duplication;duplication
power imbuing;DELETE
power neutralizer;DELETE
power recycling (latent);DELETE
power stone;DELETE
power/ability bestowal;power bestowal
powers alteration;DELETE
powers enhancing;DELETE
powers nullifying;DELETE
precognition & retrocognition;precognition
precognitive powers;precognition
prehensile hair;DELETE
prescience;DELETE
preternatural speed and agility;enhanced agility
preternatural speed and agility;enhanced speed
probability field manipulation;manipulation powers
probability field manipulation;probability powers
probabily manipulation;manipulation powers
probabily manipulation;probability powers
program transmitter;DELETE
projection;projection powers
projective shrinking;projection powers
prolonged lifespan;slowed/suspended/suppresed aging
prosthetic hand;DELETE
protective halo;DELETE
protoplasmic form;form powers
proximity sense;senses powers
pseudo immortality;immortality
pseudo vampirism;vampirism
psi screen;psionic powers
psi talons;psionic powers
psi talons;talons
psionic abilities;psionic powers
psionic armor[66][67][13];psionic powers
psionic body;psionic powers
psionic bolt generation;bolt powers
psionic bolt generation;psionic powers
psionic bolts;bolt powers
psionic bolts;psionic powers
psionic butterfly wings;psionic powers
psionic capabilities;psionic powers
psionic energy absorption;absorption powers
psionic energy absorption;psionic powers
psionic energy blasts;blasts powers
psionic energy manipulation;manipulation powers
psionic energy manipulation;psionic powers
psionic energy materialization;psionic powers
psionic energy solidification;psionic powers
psionic exoskeleton armor;psionic powers
psionic fire;psionic powers
psionic firebird;psionic powers
psionic force field generation;generation powers
psionic force field generation;psionic powers
psionic force field generation;force field powers
psionic force fields;psionic powers
psionic force fields;force field powers
psionic gliding;psionic powers
psionic katana;psionic powers
psionic knife;psionic powers
psionic manipulation;manipulation powers
psionic manipulation;psionic powers
psionic nexus;psionic powers
psionic rocket launcher;psionic powers
psionic shadow;psionic powers
psionic shields;shields powers
psionic shields;psionic powers
psionic shotgun;psionic powers
psionic tracking;psionic powers
psionic vibrations;psionic powers
psionic weapons;psionic powers
psionic webbing;psionic powers
"psychic ""construct""";psychic powers
"psychic ""construct""";construct powers
psychic blast;blasts powers
psychic blast;psychic powers
psychic connection;psychic powers
psychic constructs;psychic powers
psychic constructs;construct powers
psychic defense;psychic powers
psychic defenses;psychic powers
psychic energy and undetectability;psionic powers
psychic energy and undetectability;undetectability
psychic entity physiology;DELETE
psychic immunity;immunity to different things
psychic possession;possession powers
psychic possession;possession powers
psychic skills;psychic powers
psychic vampire;vampirism
psychokinetics blasts;blasts powers
psychokinetics blasts;psychokinetics powers
psychological awareness of environment;awareness
psychological intuition;intuitive powers
psychometric projections;projection powers
psychosomatic suggestion;DELETE
psyklop eye;DELETE
pyroplasmic regeneration;regeneration
quantimization[4][7] aka hyper teleportation;teleportation
quantum manipulation;manipulation powers
quantum manipulation;quantum powers
quantum singularity;quantum powers
quick self repair;self/quick repair
raccoon physiology;DELETE
raccoon senses;senses powers
radiated form manipulation;manipulation powers
radiated form manipulation;form powers
radiation absorption & manipulation;absorption powers
radiation absorption & manipulation;manipulation powers
radiation absorption & manipulation;radiation powers
radiation emission;emission powers
radiation emission;radiation powers
radiation emitters;emission powers
radiation emitters;radiation powers
radiation generation;generation powers
radiation generation;radiation powers
radiation projection;projection powers
radiation projection;radiation powers
radiation shields;shields powers
radiation shields;radiation powers
rage enhancement;enhacements
raggadorr plea;DELETE
rapid healing;healing powers
rapid healing factor;regenerative healing factor
razor claws;claws
razor sharp claws & teeth;claws
razor sharp claws & teeth;enhaced teeth
razor sharp claws and fangs;claws
razor sharp claws and fangs;fangs
razor sharp spikes & claws;spikes
razor sharp spikes & claws;claws
reality stone;DELETE
reality transmutation;reality powers
reality transmutation;transmutation powers
reality warp immunity;immunity to different things
realm empowerment;empowerment powers
recorder hard light holograms;DELETE
recreation;DELETE
recursive retaining enhancement;enhacements
redirect projectiles;DELETE
reflexes;enhanced reflexes
reflexes and speed;enhanced reflexes
reflexes and speed;enhanced speed
reformation;DELETE
regenerating healing factor;regenerative healing factor
regenerative durability;regenerative healing factor
regenerative durability/immortality/toxic immunity;immunity to different things
regenerative durability/immortality/toxic immunity;immortality
regenerative durability/immortality/toxic immunity;regenerative healing factor
regenerative husking;regenerative healing factor
regenerative immortality;immortality
regenerative system;regenerative healing factor
reincarnation;DELETE
remote projection;projection powers
repetitive hosting empowerment;empowerment powers
replacement body;DELETE
reptilian physiology;DELETE
reptilian regenerative properties;regenerative healing factor
repulsor beam;beams powers
repulsor gauntlets;DELETE
repulsor rays;DELETE
resistance to disease;resistance powers
resistance to magic;resistance powers
resistance to sunlight;resistance powers
resistances;resistance powers
resurrection (possibly);resurrection
resurrection/healing;healing powers
resurrection/healing;resurrection
resurrection/reanimation;resurrection
retained consciousness;DELETE
retractable blade;blades
retractable nails;DELETE
retractable skeletal spikes;spikes
revenant;DELETE
revitalization;DELETE
revival;DELETE
rider sense;senses powers
rings of restraint;DELETE
robot;DELETE
rock like skin;DELETE
rocket fist;DELETE
rodent control;DELETE
rodent powers;DELETE
romani magic;magic powers
rope;DELETE
sand blasts;blasts powers
sand blasts;sand powers
sand clones;DELETE
sand conversion;DELETE
scanner detection immunity;immunity to different things
scorpion sense;senses powers
seal;DELETE
secondary nervous system;DELETE
seismic energy immunity;immunity to different things
seismic energy manipulation;manipulation powers
seismic energy manipulation;seismic powers
selective phasing/intangibility;intangibility
self detonation;DELETE
self duplication;duplication
self healing;healing powers
self mastery;DELETE
self molecular manipulation;manipulation powers
self power bestowal/volga effect;power bestowal
self propelled glide;DELETE
self repair;self/quick repair
self repairing system;self/quick repair
self size alteration;size alteration
self sustaining endurance;enhanced endurance
self sustenance (latent);self sustenance
semi solid liquid state;DELETE
senses;senses powers
sensor apparatus;DELETE
sensory array;DELETE
sensory link;link powers
sensory scrying;DELETE
sentinel creation;DELETE
seventh sense;senses powers
shadow animation and possession;shadow powers
shadow animation and possession;possession powers
shadow beast;shadow powers
shadow constructs;construct powers
shadow constructs;shadow powers
shadowy projection;projection powers
shadowy projection;shadow powers
shape changing;shapeshifting
shapeshifting (latent);shapeshifting
shield projection;projection powers
shielding systems;shields powers
shifting crystal skin;shapeshifting
shock waves;DELETE
shockwave generation;generation powers
short range electric shocks;eletric powers
sight;senses powers
sigil scars;DELETE
silent scream;DELETE
silicon based lifeform;DELETE
silk sense;senses powers
simulated telekinesis;telekinesis
sin eating;DELETE
sin empowerment;empowerment powers
sin manipulation;manipulation powers
sin perception;perception/detection powers
siren physiology;DELETE
sixth sense;senses powers
size addition (formerly);size alteration
size alteration (latent);size alteration
size and mass alteration;mass powers
size transformation;size alteration
skyfather physiology;DELETE
sleep inducement;DELETE
sleeper trapping;DELETE
sling shot;DELETE
slowed aging;slowed/suspended/suppresed aging
smell;DELETE
smilodon physiology;DELETE
smoke breathing;breath powers
smoke manipulation;manipulation powers
smoke manipulation;smoke powers
solar radiation absorption;absorption powers
solar radiation absorption;radiation powers
solar re channeling;DELETE
solid energy constructs/simulated telekinesis;construct powers
sonar sense;senses powers
song of the deep;DELETE
sonic chirp;sonic powers
sonic wave;sonic powers
"soul ""suck""";soul powers
soul anchoring;soul powers
soul capturing;soul powers
soul consumption;soul powers
soul control & manipulation;manipulation powers
soul control & manipulation;soul powers
soul reading;soul powers
soul splitting;soul powers
soulworld access;DELETE
sound immunity;immunity to different things
space flight;flight
space manipulation;manipulation powers
space manipulation;space powers
space stone;DELETE
space/time migration;time powers
speaker to the gods or loa;DELETE
speed;enhanced speed
speed boost;enhanced speed
speed force;enhanced speed
spell of darkness;spell casting
spells;spell casting
spheres;DELETE
spider augmented physiology;DELETE
spider legs;DELETE
spider nonsense;DELETE
spider physiology/oz formula enhancements;enhacements
spider power negation;DELETE
spider sense immunity;immunity to different things
spider society tattoo;DELETE
spines;DELETE
spirit energy constructs;spirit powers
spirit energy constructs;construct powers
spiritual communication;spirit powers
spiritual possession;spirit powers
spiritual possession;possession powers
stabilization sensors;sensors
stamina;enhanced stamina
star portal creation;portal creation
stare of a thousand buddhas;DELETE
stellar matrix sense;senses powers
stepping out of the time stream;DELETE
sting of kaine;kaine
stinger;stings
stone animation;DELETE
storm giant/asgardian physiology;DELETE
strength;enhanced strength
stretching;stretching and deforming
stun bolts;bolt powers
subliminal influence;DELETE
suffocation;DELETE
suggestion / persuasion;DELETE
summonbanshees from the void;summoning powers
summoning of exolon plasmoids;summoning powers
super genius intelligence;enhaced/superhuman intelligence or genius
super hearing;senses powers
super human endurance;enhanced endurance
super human speed;superhuman speed
super human strength;superhuman strength
super intelligence;enhaced/superhuman intelligence or genius
super soldier enhancements;enhacements
superhuman abilities;DELETE
superhuman agility and reflexes;superhuman reflexes
superhuman agility and reflexes;superhuman agility
superhuman concentration;DELETE
superhuman coordination;DELETE
superhuman durability or fire immunity;superhuman durability
superhuman durability or fire immunity;immunity to different things
superhuman durability/invulnerability;invulnerability
superhuman durability/invulnerability;superhuman durability
superhuman immune system;enhanced durability
superhuman intuitive ability;intuitive powers
superhuman jaw strength;DELETE
superhuman leaping ability;leaping powers
superhuman mobility;enhanced mobility
superhuman olfactory senses;senses powers
superhuman perceptions;perception/detection powers
superhuman physical abilities;DELETE
superhuman physical attributes;DELETE
superhuman physical prowess;DELETE
superhuman reflexes & reactions;superhuman reflexes
superhuman reflexes and senses;superhuman reflexes
superhuman reflexes and senses;senses powers
superhuman respiratory system;DELETE
superhuman sense of smell;senses powers
superhuman sight and hearing;senses powers
superhuman strength and speed;superhuman speed
superhuman strength and speed;superhuman strength
superhuman strength utilizations;superhuman strength
superhuman swimming speed;superhuman speed
superhuman tracking;senses powers
superhuman vision;enhanced/specific vision
superhuman vocal stamina;senses powers
superhumanly acute senes;senses powers
superhumanly acute sense of smell;senses powers
superior reflexes;enhanced reflexes
superman stamina;enhanced stamina
supernatural awareness;awareness
supernatural beauty / pheromones;pheromone powers
supernatural forces;DELETE
superpower manipulation;manipulation powers
survivability;DELETE
suspension of animation;DELETE
symbiomancy;symbiotic powers
symbiote;symbiotic powers
symbiote and codex absorbtion/augmentation;symbiotic powers
symbiote and codex absorbtion/augmentation;absorption powers
symbiote creation;symbiotic powers
symbiote domination;symbiotic powers
symbiote generated tail;symbiotic powers
symbiotic costume;symbiotic powers
synthesizedskrull organs;DELETE
tactical reload;DELETE
taste;DELETE
tattoo markings;DELETE
techno kinetic possession;techno powers
techno kinetic possession;possession powers
techno organic form;form powers
techno organic form;techno powers
techno organic virus;techno powers
techno shifting;techno powers
technoactive manipulation;techno powers
technoactive manipulation;techno powers
technological interfacing;techno powers
technological magic;magic powers
technological symbiosis;symbiotic powers
technology interface;techno powers
technomorphing modules;techno powers
technopathic link;techno powers
teeth and claws;teeth
teeth and claws;claws
telekinetic animation;telekinetic powers
telekinetic aura;telekinetic powers
telekinetic bow and arrow;telekinetic powers
telekinetic claws;claws
telekinetic crossbow;telekinetic powers
telekinetic deflection;telekinetic powers
telekinetic flare;telekinetic powers
telekinetic force blasts;blasts powers
telekinetic force blasts;telekinetic powers
telekinetic healing;telekinetic powers
telekinetic healing;healing powers
telekinetic holograms;telekinetic powers
telekinetic holograms[67];telekinetic powers
telekinetic invisibility;invisibility
telekinetic invisibility;telekinetic powers
telekinetic sensitivity;telekinetic powers
telekinetic spiked flail;telekinetic powers
telekinetic sword;telekinetic powers
telekinetic teleportation;telekinetic powers
telekinetic teleportation;teleportation
telekinetic weapons;telekinetic powers
telepathic camouflage / psi skin[9];camouflage
telepathic camouflage / psi skin[9];psionic powers
telepathic communication;telephatic powers
telepathic control & manipulation;manipulation powers
telepathic control & manipulation;telephatic powers
telepathic control over tentacles;telephatic powers
telepathic detection;telephatic powers
telepathic detection;perception/detection powers
telepathic illusions / psi projections[79];telephatic powers
telepathic illusions / psi projections[79];projection powers
telepathic illusions / psi projections[79];illusions
telepathic illusions / psi projections[79];psionic powers
telepathic manipulation;manipulation powers
telepathic manipulation;telephatic powers
telepathic resistance/empathy;resistance powers
telepathic senses;senses powers
telepathic tracer;telephatic powers
telepathy & empathy;telepathy
telepathy & empathy;telephatic powers
telepathy & empathy;empathy/emphatical powers
teleportation (latent);teleportation
temporal duplicates;duplication
temporal duplication;duplication
temporal immunity;immunity to different things
temporal stasis;DELETE
terrigenesis;DELETE
the animus;DELETE
the power of faith;DELETE
the power of the funk;DELETE
the power primordial;DELETE
the realm of hades;DELETE
the sight;senses powers
thermal adaptation;adaptation powers
thermal variance;DELETE
thermal vision;enhanced/specific vision
thermokinetic concussive/energy blasts;blasts powers
thermokinetic concussive/energy blasts;concussive powers
thermokinetic concussive/energy blasts;energy powers
third eye power;DELETE
thor's powers;DELETE
thorsleep;DELETE
thought casting;DELETE
time disruption;time powers
time freeze resistance;resistance powers
time space synesthesia;time powers
time stone;DELETE
time traveling;travel powers
toxic absorption;absorption powers
toxic gas expulsion;gas powers
toxin & disease resistance;resistance powers
toxin creation;DELETE
